open_price,high_price,prev_closing,volume,symbol,low_price,per_change,change_price,ltv,ltp,trans_date
557,560,558,557.00,,4493,156,1.94,-11.00,568,2020-09-07 14:00:58,HBL
861,872,865,865.00,,5337,110,0.35,-3.00,868,2020-09-07 14:00:58,DDBL
700,722,704,715.00,,30913,877,0,0.00,715,2020-09-07 14:00:58,ALICL
98,107,105,102.00,,60771,1000,0.97,-1.00,103,2020-09-07 14:00:58,RHPC
232,238,236,237.00,,8355,10,0,0.00,237,2020-09-07 14:00:58,GBBL
186,192,189,188.00,,47792,2480,1.05,-2.00,190,2020-09-07 14:00:58,KBL
960,980,980,960.00,,1180,196,1.03,-10.00,970,2020-09-07 14:00:58,NUBL
9,9,9,9.22,,32175,1448,0.32,-0.03,9,2020-09-07 14:00:58,NEF
128,136,134,130.00,,17568,616,2.99,-4.00,134,2020-09-07 14:00:58,SPDL
1128,1130,1130,1129.00,,457,127,2,-23.00,1152,2020-09-07 14:00:58,LLBS
167,170,170,169.00,,25080,1590,1.17,-2.00,171,2020-09-07 14:00:58,JBBL
621,648,648,636.00,,35460,1000,0.47,-3.00,639,2020-09-07 14:00:58,PLIC
235,238,237,236.00,,10186,105,0.84,-2.00,238,2020-09-07 14:00:58,SHINE
154,169,157,169.00,,2207,30,5.63,9.00,160,2020-09-07 14:00:58,NHDL
64,70,66,69.00,,3355,100,2.99,2.00,67,2020-09-07 14:00:58,UNHPL
228,232,232,230.00,,11464,590,0.86,-2.00,232,2020-09-07 14:00:58,SRBL
739,764,745,743.00,,4283,10,1.46,-11.00,754,2020-09-07 14:00:58,KMCDB
560,600,600,577.00,,22035,10,0.86,-5.00,582,2020-09-07 14:00:58,GLICL
227,232,230,230.00,,37681,200,1.29,-3.00,233,2020-09-07 14:00:58,PRVU
523,541,535,536.00,,27485,105,0.74,-4.00,540,2020-09-07 14:00:58,GBLBS
102,108,102,107.00,,2786,13,5.94,6.00,101,2020-09-07 14:00:58,CHL
1320,1349,1325,1339.00,,4602,36,0.45,6.00,1333,2020-09-07 14:00:58,SKBBL
